appid,short_description
1468,"CroNix is a fast-paced, action-packed multiplayer PvP game set in battlefields of a post-apocalypse world."
1469,"The Cortex is your ultimate destination for Firefly Online news and information. This companion app is a great way to stay current with the game’s progress, take advantage of special offers and gain access to exclusive content!"
1470,"Rotieer, move through the Level, rotate it and see it completly from the first second on!Solve Puzzles, find keys for locked Doors, move through Portals, ride Elevators and more..."
1471,Please read the Early Access info below! Alpha 0.4.
1472,"Immortal Empire is a multiplayer tactics role playing game. Control a party of up to 5 immortals as you travel through a unique fantasy world, using spells and strategy to defeat your enemies. Play co-op, versus, or solo through a compelling campaign storyline with fully voiced characters."
1473,"Cryptark is a 2D sci-fi shooter where you take on the role of a heavily armed privateer seeking to earn government contracts by boarding deadly alien space-hulks. It's up to you to strategize a plan of attack, pick an equipment loadout, and destroy the central core to be victorious."
1474,"Struggle to survive in a harsh medieval world. Hunt wildlife, mine resources, build structures, and craft weapons and armor in order to protect yourself. You may form a guild, bring war to all opposition, and try to seize the throne and become king!"
1475,"Step into the world of MMA in World of Mixed Martial Arts 3. In this simulation title, you control every aspect of the MMA world. Take control of an MMA company and run it the way you want. Decide who to hire, what matches will take place, and who doesn't make the cut!"
1476,"What if you had it in your power to rid the world of disease, to improve the lives of millions, to ease suffering and cure the sick… and earn a tidy profit? As the head of your own Pharmaceutical Conglomerate you have this power resting in your hands. Will you use it for good?"
1477,"King’s Quest is a collection of five different chapter releases, each focusing on an untold tale in Graham’s past. Discover a wondrous world full of whimsical characters, charming puzzles and perilous dangers in this fun and enchanting coming of age story."
1478,The ultimate space capital ship combat compendium is the evolution of hard core space combat sims. The only game of its kind currently in existence.
1479,"The (mis)adventures of Vinty, a nobody who thinks she's somebody!"
1480,"Embark on an all-new adventure with Shantae, the hair-whipping belly dancing genie. After losing her magic, Shantae teams up with the nefarious pirate Risky Boots in order to save Sequin Land from a curse."
1481,"Besiege is a physics based building game in which you construct medieval siege engines and lay waste to immense fortresses and peaceful hamlets. Build a machine which can crush windmills, wipe out battalions of brave soldiers and transport valuable resources, defending your creation against cannons, archers and whatever else the..."
1482,"Battle other 2D stickman online while jumping around like a lunatic and getting blown up into smithereens. With 70 weapons, Boring Man is the most chaotic and hilarious 2D online shooter on the internet. Customize game modes with highly flexible options and crazy mutators!"
1483,"You play David, an awfully small abstracted chosen hero tossed into a blissfully simple world overrun by giant culminations of evil physics-beasts. As David, you are given a slingshot-esque gift that you will have to use to conquer your colossus foes. Be there AND be square."
1484,The Old Tree is a short free-to-play cinematic puzzle game about a newborn alien baby. Witness this microscopic entity's first moments of life and help it emerge from its underground lair and ascend towards an unknown destination.
1485,"Bringing classic arcade games such as Boulder Dash and Dig Dug into the 21st century, Quarries Of Scred is an unapologetically brutal, retro-inspired arcade game designed to see just how far you’ll go to risk your bounty."
1486,"Damnation City of Death features survival gameplay, where you fight against monsters, cold, hunger, thirst and other players. The Gameplay is an action packed fight for survival, where you always need to be ready for the next encounter you face. You can also do various missions with friends."
1487,"Welcome, eager young investor, to AdVenture Capitalist! Arguably the world's greatest Capitalism simulator!"
1488,"Steredenn is a frenetic and chaotic space shooter, carved in big beautiful pixels, with insane boss battles. Embark in your ship and engage the fight against dreadful space pirates in a never-ending combat for your survival."
1489,"This 4-in-1 bundle includes 4 Hidden Object games: Stray Souls: A Dollhouse Story, House of 1,000 Doors: The Palm of Zoroaster, Dark Strokes: Sins of the Fathers, Eternal Journey: New Atlantis"
